step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.80342,0.75806,1.35761,0.625
2,1.11931,0.67857,2.06329,0.45455
3,1.36037,0.69799,1.26751,0.61538
4,1.31061,0.6791,1.33975,0.57576
5,2.31166,0.68966,1.50778,0.5625
6,1.01069,0.7377,1.32715,0.57895
7,0.9406,0.71831,1.7803,0.5
8,0.98117,0.72109,1.77795,0.5625
9,1.07372,0.71812,1.4192,0.53125
10,1.75277,0.76471,1.2813,0.5625
11,1.09425,0.68462,12.11273,0
12,1.27475,0.62838,1.06556,0.6
13,1.43816,0.69697,1.59273,0.48485
14,0.72984,0.74815,0.98237,0.61538
15,1.09497,0.7094,0.90174,0.60606
16,0.77057,0.76429,1.1787,0.5625
17,0.56314,0.82787,1.09728,0.57895
18,1.24634,0.76768,1.40542,0.5
19,1.33403,0.76471,1.35091,0.5625
20,0.87971,0.75373,1.0888,0.5
21,1.00258,0.66216,1.10406,0.59375
22,1.43939,0.74138,11.699,0
23,0.57966,0.78873,0.86619,0.525
24,0.68812,0.7415,1.46268,0.54545
25,0.87859,0.76068,1.00477,0.58974
26,0.90447,0.79032,0.896,0.63636
27,0.691,0.80537,1.14059,0.5625
28,0.78521,0.76154,1.11435,0.57895
29,0.6631,0.83221,1.39247,0.5
30,0.47911,0.82963,1.38035,0.53125
31,0.94378,0.76768,1.04092,0.53125
32,1.15777,0.77586,1.18084,0.59375
33,0.70013,0.79851,11.026,0
34,0.74153,0.77778,0.91269,0.575
35,0.74468,0.71622,1.39538,0.54545
36,0.53417,0.83893,1.06885,0.5641
37,0.51694,0.85,0.90025,0.63636
38,0.48971,0.85906,1.11086,0.65625
39,0.67788,0.83871,1.13822,0.55263
40,0.34885,0.88028,1.35341,0.53333
41,0.89564,0.79412,1.43281,0.53125
42,0.31233,0.88889,1.05213,0.53125
43,0.58129,0.81538,1.21725,0.59375
44,0.4233,0.86395,10.65148,0
45,0.3486,0.90984,0.97957,0.575
46,0.52888,0.83846,1.43193,0.54545
47,0.7802,0.80882,1.14389,0.5641
48,0.88007,0.7931,0.97901,0.57576
49,0.56129,0.79054,1.14141,0.65625
50,0.62623,0.82906,1.17705,0.55263
51,0.22247,0.94074,1.42969,0.46667
52,0.33809,0.88435,1.61527,0.53125
53,0.35272,0.89262,1.09859,0.53125
54,0.39371,0.87857,1.31346,0.5625
55,0.2836,0.93443,10.15393,0
56,0.48851,0.87097,1.03595,0.575
57,0.33678,0.91275,1.5014,0.54545
58,0.73362,0.84848,1.26238,0.5641
59,0.20957,0.91549,1.00814,0.63636
60,0.50723,0.86567,1.1795,0.625
61,0.15842,0.95556,1.24826,0.55263
62,0.22124,0.94262,1.4712,0.5
63,0.37157,0.87692,1.68251,0.53125
64,0.68062,0.84848,1.11071,0.5625
65,0.16855,0.9507,1.40353,0.53125
66,0.60792,0.88235,9.89716,0
67,0.52618,0.83761,1.07637,0.575
68,0.29111,0.89262,1.55611,0.51515
69,0.23097,0.94558,1.32397,0.5641
70,0.39245,0.8871,1.08302,0.60606
71,0.69714,0.81034,1.26838,0.625
72,0.25774,0.94631,1.29386,0.57895
73,0.31825,0.91429,1.49347,0.46667
74,0.45284,0.88806,1.75819,0.53125
75,0.44541,0.84459,1.20842,0.53125
76,0.1571,0.95902,1.43382,0.5625
77,0.24748,0.92617,9.58351,0
78,0.64518,0.81034,1.12065,0.575
79,0.12377,0.97183,1.57022,0.51515
80,0.42487,0.85811,1.34615,0.5641
81,0.30586,0.89231,1.10617,0.57576
82,0.42345,0.89552,1.32506,0.625
83,0.54318,0.88235,1.32668,0.57895
84,0.18815,0.95918,1.53691,0.46667
85,0.32978,0.93548,1.77133,0.53125
86,0.09103,0.98519,1.21998,0.5625
87,0.28437,0.94286,1.45328,0.5625
88,0.47644,0.8547,9.89166,0
89,0.2132,0.95302,1.14076,0.575
90,0.5813,0.90909,1.5826,0.51515
