step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.1238,0.71429,,
2,1.63311,0.68687,,
3,1.16448,0.69231,,
4,0.98971,0.76296,,
5,1.43256,0.63514,,
6,0.96242,0.71831,,
7,0.94845,0.7623,,
8,1.92858,0.75,,
9,1.21107,0.67521,,
10,1.62503,0.79032,,
11,0.96625,0.72143,,
12,1.10295,0.70896,,
13,1.89772,0.7069,,
14,0.98209,0.75168,,
15,0.94692,0.72483,,
16,0.76523,0.76429,,
17,0.82487,0.77852,,
18,0.88307,0.73077,,
19,0.89884,0.76119,,
20,0.98612,0.65541,,
21,0.74086,0.77181,,
22,1.21761,0.74747,,
23,0.94013,0.80645,,
24,0.698,0.7619,,
25,0.5746,0.79577,,
26,0.85875,0.77778,,
27,0.50745,0.81481,,
28,0.49562,0.86066,,
29,1.24378,0.73529,,
30,1.32327,0.74138,,
31,0.5276,0.83893,,
32,0.39539,0.86667,,
33,0.76483,0.7027,,
34,0.53532,0.80714,,
35,0.40349,0.90164,,
36,0.62,0.79231,,
37,0.67811,0.82258,,
38,0.97127,0.78788,,
39,0.6597,0.79851,,
40,0.70613,0.80342,,
41,0.47685,0.82313,,
42,0.9897,0.77941,,
43,0.48735,0.80537,,
44,0.3208,0.88028,,
45,1.08163,0.77586,,
46,0.55021,0.8871,,
47,0.55775,0.86567,,
48,0.38287,0.86395,,
49,0.22816,0.93333,,
50,0.26043,0.90845,,
51,0.47687,0.85385,,
52,0.80572,0.82353,,
53,0.94402,0.81034,,
54,0.3327,0.89933,,
55,0.26274,0.94262,,
56,0.7999,0.81818,,
57,0.39027,0.88571,,
58,0.60754,0.82906,,
59,0.36045,0.87919,,
60,0.53971,0.78378,,
61,0.38955,0.86923,,
62,0.16023,0.96296,,
63,0.26213,0.91156,,
64,0.1604,0.95775,,
65,0.71786,0.83838,,
66,0.72168,0.88235,,
67,0.39444,0.8871,,
68,0.24367,0.94631,,
69,0.30007,0.87919,,
70,0.31829,0.92857,,
71,0.76989,0.81034,,
72,0.20543,0.95082,,
73,0.47324,0.81757,,
74,0.54571,0.84615,,
75,0.43633,0.89552,,
76,0.10722,0.97037,,
77,0.71312,0.81034,,
78,0.52416,0.83761,,
79,0.1857,0.95082,,
80,0.12035,0.97183,,
81,0.43068,0.85135,,
82,0.64523,0.86765,,
83,0.19356,0.95238,,
84,0.27847,0.93571,,
85,0.33835,0.90323,,
86,0.20457,0.94631,,
87,0.2576,0.90604,,
88,0.41245,0.90299,,
89,0.63671,0.88889,,
90,0.31436,0.89231,,
